All Third Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Alex Bregman 3B  HOU "	518	111	151	79	35	1	36	101	93	84	5	1	.291	.404	.571	8
"Nolan Arenado 3B  COL"	592	103	181	108	31	2	40	120	59	106	2	1	.306	.369	.568	12
"Jose Ramirez 3B  CLE "	541	94	150	75	37	6	32	106	76	87	29	5	.277	.368	.545	16
"Anthony Rendon 3B  LAA "	544	107	173	93	43	3	34	119	71	87	4	1	.318	.398	.596	18
"Rafael Devers 3B  BOS "	594	106	179	99	47	4	29	100	41	113	7	6	.301	.350	.540	28
"Kris Bryant 3B  CHC "	580	107	166	95	39	2	30	86	68	149	4	1	.286	.371	.515	49
"DJ LeMahieu 2B  NYY"	568	105	179	116	37	3	23	92	46	93	5	3	.315	.367	.512	57
"Max Muncy 2B  LAD"	493	98	126	68	25	2	31	91	78	135	6	1	.256	.361	.503	68
"Jeff McNeil LF  NYM"	538	88	158	101	40	4	13	80	43	98	5	4	.294	.361	.455	78
"Eugenio Suarez 3B  CIN "	526	87	151	79	26	2	44	106	64	164	2	2	.287	.370	.595	81
"Manny Machado 3B  SD"	570	81	158	99	26	4	29	90	60	114	7	3	.277	.348	.489	82
"Vladimir Guerrero 3B  TOR "	569	79	170	107	37	3	23	98	58	115	1	0	.299	.367	.496	84
"Yoan Moncada 3B  CHW"	557	99	173	95	38	8	32	96	49	151	10	3	.311	.369	.580	88
"Matt Chapman 3B  OAK "	564	99	151	74	39	6	32	83	62	152	1	1	.268	.349	.528	89
"Josh Donaldson 3B  MIN"	540	100	147	71	37	0	39	99	84	139	4	2	.272	.376	.557	91
"Eduardo Escobar 3B  ARI "	573	82	157	83	34	9	31	102	44	124	4	2	.274	.325	.527	103
"Miguel Sano 3B  MIN"	482	92	125	57	29	3	36	94	67	174	1	0	.259	.352	.556	104
"Mike Moustakas 3B  CIN "	531	78	138	73	31	2	32	94	46	101	3	0	.260	.324	.507	105
"Danny Santana CF  TEX "	574	93	160	94	30	7	29	96	38	173	22	7	.279	.332	.507	126
"Tommy Edman 3B  STL"	583	97	171	108	34	8	21	73	38	127	20	4	.293	.344	.487	127
"Yuli Gurriel 1B  HOU "	555	81	162	95	36	2	29	102	39	77	4	2	.292	.340	.521	128
"Justin Turner 3B  LAD "	541	93	161	106	31	0	24	78	57	85	4	1	.298	.381	.488	141
"J.D. Davis LF  NYM "	308	45	87	56	16	2	13	38	31	78	3	0	.282	.352	.474	163
"Scott Kingery CF  PHI "	535	79	139	76	35	6	22	72	50	166	17	4	.260	.329	.471	169
"Hunter Dozier 3B  KC"	546	81	156	84	32	8	32	92	51	146	2	2	.286	.348	.549	182
"Gio Urshela 3B  NYY"	532	80	153	94	34	1	24	82	38	115	2	0	.288	.343	.491	185
"Tommy La Stella 2B  LAA "	553	89	157	109	22	1	25	82	45	80	3	1	.284	.341	.463	210
"Brian Anderson 3B  MIA "	559	82	157	88	40	4	25	82	57	141	5	1	.281	.361	.501	211
"Luis Arraez 2B  MIN "	544	90	172	116	40	3	13	63	54	76	6	4	.316	.378	.472	215
"Ryan McMahon 2B  COL "	550	77	140	89	25	3	23	85	55	164	7	2	.255	.325	.436	218
"Kevin Newman SS  PIT "	586	66	158	112	24	4	18	71	36	103	18	7	.270	.319	.416	219
"Kyle Seager 3B  SEA"	602	78	139	70	37	2	30	92	55	149	3	2	.231	.299	.449	222
"Nick Solak DH  TEX "	462	70	121	73	22	2	24	79	57	128	4	1	.262	.353	.474	225
"Yandy Diaz 3B  TB "	488	78	124	69	30	2	23	67	51	112	3	2	.254	.326	.465	226
"Jon Berti SS  MIA "	316	52	86	57	19	2	8	33	25	85	15	4	.272	.333	.421	244
"Starlin Castro 2B  WAS "	571	80	164	104	32	5	23	86	38	104	4	3	.287	.330	.482	283
"Michael Chavis 1B  BOS "	557	74	140	89	21	1	29	89	50	172	3	1	.251	.321	.449	289
"Asdrubal Cabrera 3B  WAS"	549	74	146	93	30	1	22	94	49	123	3	0	.266	.328	.444	290
"Evan Longoria 3B  SF"	589	73	153	95	27	5	26	80	45	143	4	2	.260	.319	.455	297
"Jose Peraza 2B  BOS"	576	75	162	105	39	6	12	59	19	74	16	7	.281	.312	.432	305
"Eric Sogard 2B  MIL "	574	81	158	105	34	4	15	61	50	112	11	1	.275	.341	.427	307
"Maikel Franco 3B  KC "	538	65	142	89	26	1	26	80	36	82	1	0	.264	.309	.461	311
"Ian Happ LF  CHC "	413	67	109	61	23	3	22	69	49	110	7	2	.264	.345	.494	320
"Renato Nunez DH  BAL "	508	64	127	74	25	0	28	81	41	138	1	0	.250	.316	.465	321
"Neil Walker 1B  PHI"	478	69	129	78	30	3	18	74	69	114	4	1	.270	.364	.458	329
"Hanser Alberto 2B  BAL "	598	68	173	128	27	3	15	60	25	75	6	4	.289	.322	.420	331
"Howie Kendrick 1B  WAS "	434	59	132	82	31	2	17	66	30	83	3	1	.304	.352	.502	335
"Ryon Healy 3B  MIL "	510	69	131	73	35	2	21	74	45	126	3	1	.257	.318	.457	338
"Joey Wendle 2B  TB"	530	74	140	91	35	5	9	64	37	112	16	5	.264	.319	.400	339
