All First Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Vladimir Guerrero 1B  TOR "	556	110	171	98	28	2	43	106	82	122	3	1	.308	.401	.597	3
"Freddie Freeman 1B  LAD "	576	126	187	121	32	4	30	101	93	92	8	2	.325	.424	.550	11
"Matt Olson 1B  ATL "	575	103	165	82	38	0	45	119	79	125	4	2	.287	.373	.588	27
"Austin Riley 3B  ATL"	530	83	165	99	33	1	32	100	45	146	0	0	.311	.372	.558	31
"Pete Alonso 1B  NYM "	592	95	160	86	30	4	40	112	68	128	4	0	.270	.357	.537	37
"Paul Goldschmidt 1B  STL"	601	104	186	112	39	2	33	102	70	130	10	1	.309	.382	.546	43
"Kris Bryant LF  COL "	558	91	162	99	37	3	23	82	61	130	10	2	.290	.366	.491	53
"Jose Abreu 1B  CHW"	550	85	155	89	32	2	32	116	55	130	1	0	.282	.365	.522	65
"J.T. Realmuto C  PHI"	489	74	132	79	27	3	23	80	49	130	12	3	.270	.351	.478	68
"Kyle Schwarber LF  BOS "	546	101	144	73	28	1	42	99	78	162	3	1	.264	.361	.549	81
"Max Muncy 1B  LAD "	553	109	153	77	35	3	38	110	80	120	3	1	.277	.375	.557	94
"Rhys Hoskins 1B  PHI "	570	99	150	65	41	0	44	105	71	148	4	2	.263	.352	.567	95
"Joey Votto 1B  CIN"	522	79	136	75	26	1	34	96	91	134	1	0	.261	.372	.510	99
"Jake Cronenworth 2B  SD "	563	88	156	89	34	8	25	74	52	105	4	2	.277	.347	.499	100
"Josh Bell 1B  WAS "	489	72	124	73	25	2	24	86	59	108	1	0	.254	.336	.460	104
"C.J. Cron 1B  COL"	400	60	113	61	27	1	24	74	48	101	1	0	.282	.369	.535	106
"Yasmani Grandal C  CHW"	447	79	114	62	19	1	32	87	93	123	1	0	.255	.384	.517	122
"Luke Voit 1B  SD "	460	64	118	67	23	2	26	79	39	127	1	0	.257	.327	.485	125
"Lourdes Gurriel LF  TOR"	567	74	159	98	33	4	24	95	41	136	3	3	.280	.329	.480	146
"Ryan Mountcastle 1B  BAL"	572	82	153	90	26	1	36	99	49	171	4	1	.268	.329	.505	155
"Jared Walsh 1B  LAA"	558	75	154	89	32	2	31	99	58	155	2	1	.276	.346	.507	157
"Brandon Belt 1B  SF"	479	82	134	69	25	3	37	83	67	135	3	2	.280	.376	.576	163
"Ty France 1B  SEA"	493	74	148	100	30	1	17	67	43	92	1	0	.300	.377	.469	165
"Alex Kirilloff RF  MIN "	508	63	126	76	26	3	21	74	44	141	7	4	.248	.314	.435	166
"Frank Schwindel 1B  CHC"	502	78	145	83	34	2	26	83	51	107	3	1	.289	.358	.520	184
"Anthony Rizzo 1B  NYY "	560	84	146	89	26	3	28	77	70	97	7	2	.261	.356	.468	185
"Yuli Gurriel 1B  HOU"	536	80	163	117	29	0	17	82	55	84	3	1	.304	.366	.453	186
"Eduardo Escobar 3B  NYM"	501	72	133	81	22	5	25	82	45	110	2	0	.266	.329	.479	188
"Trey Mancini 1B  BAL"	559	79	142	86	32	2	22	74	54	158	1	0	.254	.329	.436	190
"DJ LeMahieu 2B  NYY "	516	77	150	112	24	3	11	55	57	74	4	0	.291	.364	.413	192
"Tyler Stephenson C  CIN"	373	51	101	70	19	1	11	43	46	91	1	0	.271	.354	.415	194
"Jesus Aguilar 1B  MIA "	557	71	152	87	32	0	33	110	61	120	1	0	.273	.346	.508	218
"Miguel Sano 1B  MIN"	543	80	125	63	28	1	33	90	64	202	2	1	.230	.314	.468	223
"Jonathan Schoop 1B  DET"	526	74	147	101	25	2	19	68	30	112	2	0	.280	.326	.443	228
"Connor Joe LF  COL "	376	53	103	63	23	1	16	63	46	90	1	0	.274	.355	.468	240
"Spencer Torkelson 1B  DET "	383	53	100	60	19	2	19	59	39	103	2	1	.261	.333	.470	241
"Luis Torrens DH  SEA"	389	47	96	58	20	2	16	54	37	106	1	0	.247	.315	.432	260
"Andrew Vaughn LF  CHW"	328	44	83	53	17	1	12	41	30	78	2	0	.253	.323	.421	267
"Patrick Wisdom 3B  CHC "	491	72	118	67	22	1	28	82	50	161	7	2	.240	.318	.460	284
"Colin Moran 1B  PIT "	489	61	133	81	26	1	25	81	58	133	2	0	.272	.355	.483	290
"Pavin Smith RF  ARI "	568	81	159	104	33	4	18	70	54	122	2	0	.280	.346	.447	291
"Ji-Man Choi 1B  TB"	500	73	120	69	26	1	24	81	75	146	2	0	.240	.344	.440	295
"Darin Ruf 1B  SF"	379	59	106	58	22	2	24	63	52	105	3	1	.280	.369	.538	296
"Gavin Sheets DH  CHW"	389	59	105	59	22	1	23	71	42	97	1	0	.270	.347	.509	299
"Christian Walker 1B  ARI "	528	74	138	84	34	2	18	73	51	134	1	0	.261	.330	.436	301
"Eric Hosmer 1B  SD"	482	56	133	90	26	0	17	71	42	99	6	3	.276	.339	.436	304
"Nate Lowe 1B  TEX"	419	62	115	73	22	2	18	63	64	118	6	1	.275	.373	.465	305
"Matt Vierling CF  PHI "	390	60	106	63	22	3	18	58	40	102	9	3	.272	.331	.482	307
"Hunter Dozier RF  KC"	543	70	125	67	29	6	23	65	54	173	7	4	.230	.307	.433	309
"Alec Bohm 3B  PHI"	503	66	134	95	24	1	14	68	46	130	5	1	.266	.329	.402	310
"Josh Naylor RF  CLE "	426	62	116	71	25	1	19	60	36	98	2	0	.272	.334	.469	312
"Bobby Bradley 1B  CLE"	385	59	90	47	17	1	25	69	46	125	1	0	.234	.321	.478	316
"Cavan Biggio 3B  TOR"	451	66	112	69	23	3	17	61	73	131	7	2	.248	.356	.426	317
"Wilmer Flores 3B  SF"	399	61	107	64	20	2	21	57	41	67	1	0	.268	.340	.486	318
"Carlos Santana 1B  KC"	529	69	116	78	16	0	22	72	85	107	2	0	.219	.329	.374	324
"Bobby Dalbec 1B  BOS "	403	49	96	48	20	5	23	67	31	142	2	0	.238	.302	.484	328
"Seth Brown RF  OAK "	394	51	89	44	19	2	24	57	37	119	5	1	.226	.296	.467	341
"Seth Beer 1B  ARI "	387	56	102	61	24	1	16	59	44	96	2	1	.264	.343	.455	343
"James McCann C  NYM"	437	53	114	78	17	2	17	64	40	113	1	1	.261	.329	.426	344
"Miguel Cabrera DH  DET "	438	47	112	78	17	0	17	73	39	112	1	0	.256	.320	.411	347
"Yandy Diaz 1B  TB"	379	58	100	67	18	1	14	61	57	72	1	0	.264	.364	.427	351
"Edwin Rios 1B  LAD "	315	52	80	45	17	1	17	55	36	73	1	0	.254	.334	.476	365
"Dominic Smith LF  NYM "	402	49	104	67	23	1	13	64	30	93	2	1	.259	.321	.418	370
"Garrett Cooper RF  MIA "	316	47	86	53	15	2	16	50	38	86	2	1	.272	.357	.484	372
"LaMonte Wade RF  SF "	319	48	81	46	16	3	16	48	33	86	5	2	.254	.331	.473	376
