All Third Basemen 2023  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Austin Riley 3B  ATL"	636	117	179	107	32	3	37	97	59	172	3	1	.281	.345	.516	15
"Jose Ramirez 3B  CLE "	611	87	172	107	36	5	24	80	73	73	28	6	.281	.356	.475	23
"Rafael Devers 3B  BOS"	580	90	157	90	34	0	33	100	62	126	5	1	.271	.351	.500	31
"Yandy Diaz 1B  TB "	525	95	173	116	35	0	22	78	65	94	0	1	.330	.410	.522	37
"Ha-seong Kim 2B  SD "	538	84	140	100	23	0	17	60	75	124	38	9	.260	.351	.398	38
"Gunnar Henderson 3B  BAL "	560	100	143	77	29	9	28	82	56	159	10	3	.255	.325	.489	39
"Alex Bregman 3B  HOU "	622	103	163	106	28	4	25	98	92	87	3	1	.262	.363	.441	40
"Max Muncy 3B  LAD"	482	95	102	48	17	1	36	105	85	153	1	2	.212	.333	.475	46
"Spencer Steer 1B  CIN "	582	74	158	95	37	3	23	86	68	139	15	3	.272	.356	.464	49
"Justin Turner DH  TOR "	558	86	154	100	31	0	23	96	51	110	4	1	.276	.345	.455	50
"Manny Machado 3B  SD "	543	75	140	89	21	0	30	91	50	109	3	2	.258	.320	.462	65
"Isaac Paredes 3B  TB"	492	71	123	68	24	0	31	98	58	104	1	0	.250	.352	.488	73
"Nolan Arenado 3B  STL "	560	71	149	95	26	2	26	93	41	101	3	3	.266	.315	.459	76
"Alec Bohm 3B  PHI "	558	74	153	102	31	0	20	97	42	94	4	1	.274	.327	.437	77
"Jake Burger 3B  MIA"	492	71	123	60	28	1	34	80	32	149	1	1	.250	.309	.518	87
"Jeimer Candelario 3B  CIN "	505	77	127	63	39	3	22	70	53	127	8	1	.252	.336	.471	108
"Elly De La Cruz SS  CIN "	388	67	91	56	15	7	13	44	35	144	35	8	.234	.300	.410	113
"Josh Jung 3B  TEX "	478	75	127	78	25	1	23	70	30	151	1	3	.266	.315	.467	119
"Nolan Gorman 2B  STL"	406	59	96	52	17	0	27	76	53	148	7	2	.236	.328	.478	123
"Christopher Morel DH  CHC "	388	62	96	50	17	3	26	70	36	133	6	2	.247	.313	.508	125
"Ryan McMahon 3B  COL"	555	80	133	76	31	3	23	70	68	198	5	5	.240	.322	.431	131
"Eugenio Suarez 3B  ARI"	598	68	139	88	29	0	22	96	70	214	2	1	.232	.323	.391	139
"Ke'Bryan Hayes 3B  PIT"	494	65	134	81	31	7	15	61	28	104	10	6	.271	.309	.453	148
"Willi Castro LF  MIN"	358	60	92	60	18	5	9	34	34	99	33	5	.257	.339	.411	149
"Wilmer Flores 1B  SF "	405	51	115	70	22	0	23	60	41	63	0	0	.284	.355	.509	174
"Maikel Garcia 3B  KC"	464	59	126	98	20	4	4	50	38	115	23	7	.272	.323	.358	183
"Chris Taylor LF  LAD"	338	51	80	49	15	1	15	56	41	125	16	3	.237	.326	.420	194
"J.D. Davis 3B  SF "	480	61	119	77	23	1	18	69	52	152	1	0	.248	.325	.412	197
