All First Basemen 2023  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Matt Olson 1B  ATL"	608	127	172	88	27	3	54	139	104	167	1	0	.283	.389	.604	2
"Freddie Freeman 1B  LAD "	637	131	211	121	59	2	29	102	72	121	23	1	.331	.410	.567	3
"Cody Bellinger CF  CHC "	499	95	153	97	29	1	26	97	40	87	20	6	.307	.356	.525	12
"Pete Alonso 1B  NYM "	568	92	123	54	21	2	46	118	65	151	4	1	.216	.318	.503	26
"Christian Walker 1B  ARI"	582	86	150	79	36	2	33	103	62	127	11	0	.258	.333	.497	29
"Yandy Diaz 1B  TB "	525	95	173	116	35	0	22	78	65	94	0	1	.330	.410	.522	37
"Paul Goldschmidt 1B  STL"	593	89	159	103	31	0	25	80	87	161	11	2	.268	.363	.447	45
"Spencer Steer 1B  CIN "	582	74	158	95	37	3	23	86	68	139	15	3	.272	.356	.464	49
"Justin Turner DH  TOR "	558	86	154	100	31	0	23	96	51	110	4	1	.276	.345	.455	50
"Bryce Harper DH  PHI"	457	84	134	83	29	1	21	72	80	119	11	3	.293	.401	.499	54
"Anthony Santander RF  BAL"	591	81	152	82	41	1	28	95	55	152	5	1	.257	.325	.472	57
"Vladimir Guerrero 1B  TOR "	602	78	159	103	30	0	26	94	67	100	5	3	.264	.345	.444	62
"Spencer Torkelson 1B  DET"	606	88	141	75	34	1	31	94	67	171	3	0	.233	.313	.446	69
"Luis Arraez 2B  MIA "	574	71	203	160	30	3	10	69	35	34	3	2	.354	.393	.469	71
"Josh Naylor 1B  CLE"	452	52	139	91	31	0	17	97	33	68	10	3	.307	.353	.489	72
"Isaac Paredes 3B  TB"	492	71	123	68	24	0	31	98	58	104	1	0	.250	.352	.488	73
"Alec Bohm 3B  PHI "	558	74	153	102	31	0	20	97	42	94	4	1	.274	.327	.437	77
"Nolan Jones LF  COL"	367	60	109	63	22	4	20	62	53	126	20	4	.297	.389	.542	79
"Jake Burger 3B  MIA"	492	71	123	60	28	1	34	80	32	149	1	1	.250	.309	.518	87
"Carlos Santana 1B  MIN "	550	78	132	75	33	1	23	86	65	104	6	0	.240	.318	.429	101
"Nate Lowe 1B  TEX"	623	89	163	105	38	3	17	82	93	165	1	0	.262	.360	.414	107
"Jeimer Candelario 3B  CIN "	505	77	127	63	39	3	22	70	53	127	8	1	.252	.336	.471	108
"Brandon Drury 2B  LAA"	485	61	127	68	30	3	26	83	25	136	0	2	.262	.306	.497	117
"Joey Meneses DH  WAS "	611	71	168	118	36	1	13	89	38	130	0	0	.275	.321	.401	135
"Andrew Vaughn 1B  CHW"	566	67	146	93	30	2	21	80	36	129	0	0	.258	.314	.429	141
"Harold Ramirez DH  TB "	400	58	125	92	19	2	12	68	22	79	5	3	.312	.352	.460	142
"Triston Casas 1B  BOS"	429	66	113	66	21	2	24	65	70	126	0	0	.263	.366	.489	147
"Salvador Perez C  KC"	538	59	137	93	21	0	23	80	19	135	0	0	.255	.292	.422	154
"Ryan Mountcastle 1B  BAL"	423	64	114	74	21	1	18	68	37	107	3	1	.270	.328	.452	161
"Wilmer Flores 1B  SF "	405	51	115	70	22	0	23	60	41	63	0	0	.284	.355	.509	174
