All Relief Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,K,BB,H,ERA,WHIP,Rank,
Old Dirty Bugg,Edwin Diaz RP | NYM ,60,66,0,0,0,2,3,40,3,99,19,37,2.37,0.92,54
Tittys Warriors,Blake Treinen RP | OAK ,70,67,0,0,0,2,2,41,7,86,22,55,2.17,1.09,57
W ,Craig Kimbrel RP | BOS,62,66,0,0,0,2,0,39,4,101,28,35,2.76,1.02,61
W ,Aroldis Chapman RP | NYY,58,66,0,0,0,2,2,41,4,103,31,35,2.64,1.14,70
User Abuser,Sean Doolittle RP | WAS ,61,65,0,0,0,2,2,41,2,83,10,35,2.20,0.73,86
Shits & Giggles,Kenley Jansen RP | LAD ,56,65,0,0,0,3,2,42,5,76,12,40,2.41,0.93,87
EVIL EMPIRE ,Carlos Martinez SP | STL ,160,29,29,18,1,11,9,0,0,168,58,145,3.31,1.26,89
W ,Roberto Osuna RP | HOU ,57,65,0,0,0,3,2,44,6,62,7,48,3.30,0.96,104
Floaters and Sinkers,Brad Hand RP | CLE ,60,65,0,0,0,2,2,40,9,96,23,49,2.98,1.19,106
Los Cerveceros,Felipe Vazquez RP | PIT ,58,64,0,0,0,2,2,35,4,78,20,50,2.45,1.19,107
User Abuser,Wade Davis RP | COL ,66,67,0,0,0,2,2,37,4,92,31,45,3.65,1.14,118
Sofa Kings,Raisel Iglesias RP | CIN ,74,64,0,0,0,2,3,32,4,92,28,59,2.65,1.17,119
Old Dirty Bugg,Jose Leclerc RP | TEX ,62,64,0,0,0,2,2,30,9,102,40,32,2.58,1.15,120
EVIL EMPIRE ,Kirby Yates RP | SD ,56,72,0,0,0,2,3,29,6,90,18,42,3.04,1.07,122
Orange-a-Tangs,Josh Hader RP | MIL ,73,59,0,0,0,3,2,9,2,143,28,36,2.22,0.88,133
W ,Will Smith RP | SF ,59,65,0,0,0,2,3,31,9,87,18,45,2.75,1.07,175
Sofa Kings,Cody Allen RP | LAA ,64,68,0,0,0,2,3,35,6,91,31,62,4.90,1.45,178
W ,Collin McHugh RP | HOU ,170,32,32,15,0,15,6,0,0,187,53,163,3.87,1.27,180
W ,David Robertson RP | PHI ,69,66,0,0,0,2,3,31,9,101,26,45,3.00,1.03,181
Crime Pays,Ken Giles RP | TOR ,71,69,0,0,0,2,2,32,2,92,17,69,4.16,1.21,183
W ,Archie Bradley RP | ARI ,53,64,0,0,0,2,2,27,8,63,17,50,3.40,1.26,184
Orange-a-Tangs,Corey Knebel RP | MIL ,62,69,0,0,0,2,3,33,5,109,30,42,2.89,1.16,191
Whiteness,Arodys Vizcaino RP | ATL ,62,68,0,0,0,2,2,34,5,73,25,49,2.45,1.19,192
W ,Jose Alvarado RP | TB ,48,81,0,0,0,2,2,33,10,70,25,40,3.17,1.34,194
W ,Jordan Hicks RP | STL,58,67,0,0,0,1,2,25,7,58,37,49,4.01,1.47,197
W ,A.J. Minter RP | ATL,53,63,0,0,0,2,3,8,2,70,20,53,3.40,1.38,198
User Abuser,Jeremy Jeffress RP | MIL,54,65,0,0,0,4,1,2,0,66,25,53,3.00,1.44,199
Old Dirty Bugg,Tyler Glasnow RP | TB ,134,29,29,11,0,6,7,0,0,158,56,118,4.41,1.29,211
W ,Kenta Maeda SP | LAD ,130,26,26,7,0,13,5,0,0,141,36,117,3.38,1.17,219
Los Cerveceros,Alex Wood SP | CIN ,155,30,30,17,0,11,7,0,0,146,48,153,3.72,1.30,223
