All Starting Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,K,BB,H,ERA,WHIP,Rank,
Crime Pays,Max Scherzer SP | WAS,206,33,33,30,2,17,7,0,0,256,57,159,2.96,1.05,7
W ,Chris Sale SP | BOS ,165,29,29,20,0,14,5,0,0,213,38,137,2.72,1.06,13
W ,Jacob deGrom SP | NYM ,197,31,31,28,1,14,8,0,0,224,51,163,2.46,1.08,14
Sofa Kings,Justin Verlander SP | HOU ,197,33,33,27,1,18,7,0,0,243,60,164,3.10,1.13,21
Old Dirty Bugg,Corey Kluber SP | CLE,205,32,32,25,3,18,7,0,0,224,48,191,3.34,1.17,22
Sofa Kings,Blake Snell SP | TB,180,33,33,19,0,18,7,0,0,199,74,143,2.99,1.20,27
Old Dirty Bugg,Aaron Nola SP | PHI ,178,30,30,25,0,14,8,0,0,193,56,160,3.33,1.21,28
User Abuser,Trevor Bauer SP | CLE ,190,33,33,24,0,18,7,0,0,227,58,173,3.22,1.22,34
EVIL EMPIRE ,Gerrit Cole SP | HOU ,194,33,33,24,1,15,8,0,0,254,63,167,3.61,1.18,35
Floaters and Sinkers,Clayton Kershaw SP | LAD,176,29,29,23,0,14,6,0,0,176,44,145,2.71,1.07,37
W ,Noah Syndergaard SP | NYM ,184,33,33,21,2,15,6,0,0,188,47,178,3.38,1.22,40
Shits & Giggles,Luis Severino SP | NYY ,194,33,33,20,1,17,9,0,0,219,54,170,3.33,1.15,45
W ,Patrick Corbin SP | WAS,165,29,29,19,1,14,6,0,0,191,43,147,3.27,1.15,46
W ,Carlos Carrasco SP | CLE,188,32,32,21,2,17,9,0,0,221,44,168,3.44,1.12,47
User Abuser,Zack Greinke SP | ARI ,183,31,31,22,0,14,10,0,0,195,49,168,3.63,1.18,50
EVIL EMPIRE ,Walker Buehler SP | LAD ,176,30,30,17,0,10,4,0,0,192,42,133,2.76,0.99,53
EVIL EMPIRE ,James Paxton SP | NYY ,173,31,31,19,2,16,5,0,0,224,52,154,3.38,1.19,65
Disco Bush Horticulturists,Stephen Strasburg SP | WAS,166,29,29,21,0,14,8,0,0,197,51,149,3.19,1.20,67
EVIL EMPIRE ,Mike Clevinger SP | CLE,173,30,30,21,1,16,5,0,0,201,57,148,3.07,1.19,73
Sofa Kings,German Marquez SP | COL,162,30,30,19,0,12,10,0,0,180,49,161,3.82,1.29,76
EVIL EMPIRE ,Carlos Martinez SP | STL ,160,29,29,18,1,11,9,0,0,168,58,145,3.31,1.26,89
W ,Madison Bumgarner SP | SF,189,32,32,24,1,11,10,0,0,170,62,186,3.62,1.31,90
Shits & Giggles,Jack Flaherty SP | STL,151,30,30,11,0,11,7,0,0,170,49,115,2.97,1.08,97
W ,David Price SP | BOS,165,30,30,20,1,15,8,0,0,174,50,153,3.59,1.23,98
Whiteness,Chris Archer SP | PIT ,174,33,33,18,0,10,7,0,0,208,56,183,3.92,1.37,108
Los Cerveceros,Jose Berrios SP | MIN,184,33,33,20,2,15,10,0,0,198,69,163,3.70,1.26,116
Crime Pays,Jameson Taillon SP | PIT ,181,33,33,21,2,13,11,0,0,171,45,177,3.52,1.22,117
Floaters and Sinkers,Charlie Morton SP | TB,176,33,33,19,0,17,5,0,0,186,62,154,3.57,1.23,126
Whiteness,Mike Foltynewicz SP | ATL ,161,30,30,14,1,14,9,0,0,169,56,137,3.29,1.20,129
Disco Bush Horticulturists,Zack Wheeler SP | NYM ,179,32,32,20,0,13,8,0,0,186,58,163,3.26,1.23,130
Crime Pays,Miles Mikolas SP | STL,175,30,30,21,1,14,6,0,0,151,33,174,3.28,1.18,131
User Abuser,Masahiro Tanaka SP | NYY,160,28,28,18,1,15,7,0,0,173,42,151,3.93,1.20,132
Old Dirty Bugg,Yu Darvish SP | CHC ,137,26,26,15,0,8,8,0,0,143,52,126,4.05,1.29,134
Floaters and Sinkers,Shohei Ohtani DH | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,135
