All Catchers   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"J.T. Realmuto C  PHI "	468	76	127	72	28	4	23	78	43	108	3	2	.271	.342	.496	39
"Gary Sanchez C  NYY "	489	83	114	60	23	0	31	92	49	133	2	0	.233	.308	.470	60
"Willson Contreras C  CHC "	497	56	128	82	26	3	17	71	54	127	5	2	.258	.341	.424	88
"Yasmani Grandal C  MIL "	386	52	98	58	19	2	19	56	43	109	1	1	.254	.330	.461	99
"Yadier Molina C  STL "	500	59	134	89	23	1	21	81	30	82	6	4	.268	.314	.444	102
"Wilson Ramos C  NYM "	481	52	137	87	27	1	22	86	41	101	0	0	.285	.342	.482	103
"Salvador Perez C  KC "	460	59	116	64	23	1	28	89	20	116	1	0	.252	.295	.489	115
"Buster Posey C  SF "	538	66	147	103	32	1	11	63	54	93	3	1	.273	.345	.398	121
"Danny Jansen C  TOR"	404	49	99	58	24	1	16	51	35	91	1	1	.245	.315	.428	195
"Francisco Mejia C  SD"	445	47	103	67	20	1	15	55	37	117	1	1	.232	.299	.382	196
"Francisco Cervelli C  PIT "	433	52	114	73	21	4	16	67	57	113	2	2	.263	.368	.441	222
"Robinson Chirinos C  HOU"	373	56	96	55	18	1	22	68	42	99	2	0	.257	.353	.488	240
"Willians Astudillo C  MIN "	415	48	109	70	20	2	17	63	30	88	1	1	.263	.318	.443	245
"Mike Zunino C  TB "	407	48	91	45	23	0	23	61	35	190	0	0	.224	.296	.450	249
"Omar Narvaez C  SEA "	372	46	108	74	19	1	14	48	48	78	0	0	.290	.377	.460	250
"Welington Castillo C  CHW"	445	51	113	74	23	1	15	55	30	128	2	1	.254	.311	.411	251
"Yan Gomes C  WAS "	407	54	105	67	24	0	14	53	29	136	0	0	.258	.318	.420	253
"Mitch Garver C  MIN"	363	46	94	60	20	2	12	54	30	97	0	0	.259	.324	.424	257
"Kurt Suzuki C  WAS "	313	45	82	49	20	0	13	50	23	51	0	0	.262	.325	.451	258
"Austin Barnes C  LAD "	362	48	84	56	16	1	11	42	43	100	5	1	.232	.325	.373	262
"Tucker Barnhart C  CIN "	410	45	101	69	18	2	12	42	44	89	0	0	.246	.324	.388	264
"Jonathan Lucroy C  LAA"	374	42	95	69	18	1	7	50	29	63	0	0	.254	.308	.364	266
